time,pitch,energy
7.78,889.0,78.92173605150478
7.79,887.0,78.9023288552126
7.8,888.0,78.90049249713329
7.8100000000000005,888.0,78.89726298042623
7.82,887.0,78.87229315084713
7.83,886.0,78.85109571774441
7.84,887.0,78.85482092750516
7.8500000000000005,887.0,78.85834480760184
7.86,887.0,78.84327113788538
7.87,888.0,78.84187776993807
7.88,889.0,78.88638199314444
7.890000000000001,889.0,78.95107930389736
7.9,889.0,78.98720079946797
7.91,887.0,78.99008241843428
7.92,887.0,78.99435092744558
7.930000000000001,888.0,79.01655039354435
7.94,889.0,79.03830569599552
7.95,889.0,79.04518925631042
7.96,889.0,79.05169838664634
7.97,888.0,79.07837532051636
7.98,887.0,79.1184131589369
7.99,886.0,79.1445852405639
8.0,885.0,79.14889808861503
8.01,884.0,79.15459382396806
8.02,885.0,79.17569661795652
8.03,887.0,79.1834484269568
8.040000000000001,891.0,79.14156367602952
8.05,892.0,79.06491570388755
8.06,891.0,79.0088174774149
8.07,892.0,78.99412178051674
8.08,894.0,78.98424152011553
8.09,895.0,78.95435290832846
8.1,896.0,78.9342436936793
8.11,899.0,78.95216914535018
8.120000000000001,900.0,78.97424680842768
8.13,898.0,78.94604842191733
8.14,894.0,78.87166548446667
8.15,890.0,78.81005182818421
8.16,888.0,78.79157829591387
8.17,888.0,78.77619568464311
8.18,888.0,78.7244555921751
8.19,886.0,78.66306289524968
8.2,887.0,78.6280500929068
8.21,888.0,78.58884679572789
8.22,886.0,78.50694507729361
8.23,883.0,78.4288020116213
8.24,884.0,78.43322679550423
8.25,886.0,78.5107409801111
8.26,887.0,78.58882522698242
8.27,888.0,78.64266225664254
8.28,889.0,78.68930025567653
8.290000000000001,891.0,78.71323297068575
8.3,891.0,78.68429390883584
8.31,890.0,78.62945066408699
8.32,891.0,78.60468129668625
8.33,892.0,78.59783509430392
8.34,891.0,78.5408088660945
8.35,889.0,78.42001254747267
8.36,889.0,78.29921205887169
8.370000000000001,889.0,78.21999397694513
8.38,888.0,78.14951657060394
8.39,886.0,78.06456225605136
8.4,884.0,78.00622016927875
8.41,886.0,78.00327472697582
8.42,887.0,78.01722758957543
8.43,887.0,78.01162079784145
8.44,886.0,77.99824600100233
8.45,886.0,77.97836506160414
8.46,883.0,77.91263824318662
8.47,879.0,77.79216053245162
8.48,877.0,77.67849631434932
8.49,879.0,77.62594976458392
8.5,882.0,77.61890025099405
8.51,883.0,77.63050736650796
8.52,886.0,77.66689384708819
8.53,891.0,77.71661157450274
8.540000000000001,895.0,77.73172026819034
8.55,898.0,77.69310425861806
8.56,900.0,77.6429086730574
8.57,903.0,77.62448938667961
8.58,902.0,77.62023751230801
8.59,897.0,77.57676657772741
8.6,888.0,77.46768646092059
8.61,880.0,77.29954387754934
8.620000000000001,871.0,77.06721565545851
8.63,862.0,76.74389543111441
8.64,852.0,76.32505182138881
8.65,843.0,75.85846847483306
8.66,830.0,75.43177579964674
8.67,819.0,75.11630523978998
8.68,812.0,74.88648983943972
8.69,802.0,74.6374416308159
8.700000000000001,796.0,74.3251492723424
8.71,789.0,74.05445112316832
8.72,781.0,73.97030869842729
8.73,772.0,74.04214703611261
8.74,762.0,74.09787965343665
8.75,752.0,74.04547637144334
8.76,748.0,73.89083861024555
8.77,743.0,73.63753182007865
